id_1,id_2
3492,1720
3492,1731
3492,1751
3492,3546
3492,3573
3492,1857
3492,3594
3492,1877
7348,7443
7348,7938
4115,4137
4115,4327
4115,4615
1209,1222
0,73
0,354
0,483
5296,5339
5296,5371
5296,5377
5296,5393
5296,5407
5296,4046
5296,5499
3071,3074
3071,3090
3071,3091
3071,3129
3071,3164
3071,3174
3071,3249
3071,3267
6237,6412
499,519
499,533
499,608
3735,5351
3735,4065
4643,8521
4643,8524
4643,4688
4643,4707
4643,4715
4643,8578
4643,6611
4643,4842
2827,2842
649,718
649,720
649,752
8624,8886
4644,6050
4644,4726
9048,9222
9048,9238
3736,5318
3736,3846
3736,3978
3736,4006
3736,4080
650,785
8507,8515
8507,8523
8507,8530
8507,8561
8507,8573
5732,5824
5732,3969
9403,9552
9403,9727
9403,9816
9403,9878
9403,9883
9403,9892
651,675
651,715
651,1075
1,78
1,580
1,325
1,405
2,10
2,52
2,86
2,333
652,3772
652,1278
652,898
8625,8853
8625,8881
8625,8887
8625,9022
9918,9950
9918,9956
9918,9998
9918,10029
9404,7359
9404,7365
9404,7791
9404,7387
9404,7440
1210,1221
1210,1681
2494,2585
2494,2631
2494,2759
8343,8355
8343,8358
8343,8406
8343,8443
8343,8478
8343,8502
1211,955
1211,1524
1211,1095
3,242
3,285
3,425
3,459
4645,4684
4645,4708
4645,4775
4645,4777
4116,4142
4116,4165
3279,3303
3610,3710
3737,3742
3737,5050
3737,3841
3737,3843
3737,5867
3737,3892
3737,3928
3737,5417
3737,3978
3737,7240
3737,4055
1687,1793
1687,1835
2495,2648
2495,2762
5733,5746
5733,5799
5733,5865
5733,5878
5733,5881
5733,5938
5733,5983
5733,5986
5733,6012
8344,8396
8344,8419
7508,7740
6532,6556
6532,6579
6532,6583
6532,6594
7005,7148
7005,7174
7005,7200
4,2564
4,339
7996,8076
7996,8120
7996,8259
7996,8317
653,1256
653,1189
5,22
5,36
5,272
5,285
5,317
5,364
5,422
5,425
9405,9518
9405,9528
9405,9907
2919,8422
2919,3040
2919,8500
6,69
6,79
6,1035
6,400
6,427
7349,7426
7349,7852
7349,7863
7349,7874
7349,9292
7349,7462
7349,7481
9049,9201
9049,9361
9049,9370
5297,2571
5297,5142
2175,2321
2175,2324
7997,8017
3392,3407
3392,2629
3392,2676
3392,2701
3392,2740
3392,2799
1212,1275
1212,1335
1212,1478
1212,2018
1212,2023
1212,1605
1212,1685
3493,3806
3493,3846
3493,3903
3493,3559
3493,3574
3493,3602
3493,3607
5525,5542
5525,5543
5525,5546
5525,5552
5525,5555
5525,5559
5525,5560
5525,5565
5525,5572
5525,5576
5525,5592
5525,5597
5525,5598
5525,5601
5525,5617
5525,5620
5525,5626
5525,5629
5525,5632
5525,5644
5525,5662
5525,5665
5525,5666
5525,5676
5525,5688
5525,5702
5525,5703
5525,5704
5525,5705
5525,5713
5525,5728
5525,5731
9406,9493
9406,9547
9406,9685
9406,9774
9406,9870
6822,6887
4854,4942
4854,4979
4854,5020
6533,6535
6533,6550
6533,6554
6533,6564
6533,6568
6533,6581
6533,6584
6533,6587
6533,6588
6533,6592
6533,6605
6533,6612
6533,6625
6533,6628
9407,9523
9407,9548
9407,9753
654,687
654,919
654,994
654,1030
654,1048
7751,7769
7751,7559
7751,7794
7751,7424
